date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:54,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:55,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:55,,162.159.135.234,443,192.168.1.193,63081,ALLOW,Normal
2024-04-18 19:08:55,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:55,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:56,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:57,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:57,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:57,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:57,,52.178.17.234,443,192.168.1.193,64312,ALLOW,Normal
2024-04-18 19:08:57,,52.178.17.234,443,192.168.1.193,64312,ALLOW,Normal
2024-04-18 19:08:57,,162.159.135.234,443,192.168.1.193,63081,ALLOW,Normal
2024-04-18 19:08:57,,52.178.17.234,443,192.168.1.193,64312,ALLOW,Normal
2024-04-18 19:08:57,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:57,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,52.178.17.234,443,192.168.1.193,64312,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:58,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63169,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
2024-04-18 19:08:59,,39.109.154.159,14006,192.168.1.193,63172,ALLOW,Normal
